id	X-Coordinate	Y-Coordinate	Z	M	CSA	COUNT	ID
0	-76.65812162	 39.27540744	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65812786	 39.27540479	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65813386	 39.27540190	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65813956	 39.27539873	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65814515	 39.27539536	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65815076	 39.27539188	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65815632	 39.27538828	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65816176	 39.27538455	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65816701	 39.27538068	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65817201	 39.27537667	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65817668	 39.27537251	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65818096	 39.27536817	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65818478	 39.27536366	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65818809	 39.27535898	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65819104	 39.27535414	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65819373	 39.27534917	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65819618	 39.27534409	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65819842	 39.27533891	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65820049	 39.27533366	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65820240	 39.27532833	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65820419	 39.27532295	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65820589	 39.27531754	0	0	Allendale/Irvington/S. Hil	6	1	
0	-76.65820753	 39.27531210	0	0	Allendale/Irvington/S. Hil	6	1	
