College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
  66  Kent State           $  =  80.97   24   8   73.41( 155)    0   0  |    0   1  |   81.25   57 |   80.37   74
  67  Miami-Florida           =  80.76   16  15   78.85(  26)    1   4  |    2   9  |   80.69   62 |   80.48   73
  68  Wis.-Milwaukee       $  =  80.74   20   8   74.05( 127)    0   1  |    0   2  |   79.83   76 |   81.37   62
  69  Utah State           $  =  80.74   22   8   73.80( 135)    0   0  |    1   2  |   80.59   65 |   80.53   72
  70  Old Dominion            =  80.42   21   9   73.59( 145)    0   0  |    0   0  |   79.85   75 |   80.66   70
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
  71  Iowa State              =  80.31   15  14   78.38(  35)    0   4  |    1   4  |   79.08   84 |   81.35   64
  72  Wake Forest             =  80.31   17  16   78.87(  25)    0   5  |    3   9  |   80.19   71 |   80.09   77
  73  Winthrop             $  =  80.30   21   7   70.10( 251)    0   1  |    0   1  |   78.79   88 |   81.68   60
  74  Virginia                =  80.10   15  14   79.13(  19)    1   3  |    2   7  |   80.32   67 |   79.54   81
  75  Minnesota               =  80.03   15  14   78.28(  36)    0   3  |    3   5  |   80.50   66 |   79.24   85
  76  BYU                     =  79.98   19   8   74.09( 126)    0   0  |    0   0  |   78.93   86 |   80.78   69
  77  DePaul                  =  79.79   12  15   81.03(   3)    0   1  |    1   4  |   80.05   72 |   79.19   86
  78  Western Kentucky        =  79.77   22   7   72.63( 177)    0   0  |    0   0  |   79.88   74 |   79.32   83
  79  Pacific              $  =  79.75   22   7   70.51( 237)    0   0  |    0   1  |   78.31   93 |   81.05   67
  80  Kansas State            =  79.61   15  13   76.31(  78)    1   2  |    1   2  |   77.49  102 |   81.83   59
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
  81  Akron                   =  79.18   21   9   73.48( 150)    0   0  |    0   1  |   79.64   79 |   78.41   92
  82  Houston                 =  79.10   19   9   73.98( 128)    0   2  |    1   2  |   78.58   90 |   79.29   84
  83  Stanford                =  79.00   15  13   77.56(  55)    0   0  |    1   4  |   77.94   95 |   79.79   80
  84  Miami-Ohio              =  78.83   18  10   74.79( 105)    0   0  |    0   1  |   79.18   83 |   78.16   96
  85  Butler                  =  78.75   19  12   74.11( 124)    0   1  |    0   2  |   77.26  106 |   80.08   78
  86  Northwestern State   $  =  78.70   22   7   71.60( 198)    0   0  |    0   0  |   80.27   68 |   76.97  107
  87  Virginia Tech           =  78.69   14  16   77.10(  68)    0   4  |    1   8  |   77.10  109 |   80.15   76
  88  Providence              =  78.59   12  15   79.59(  11)    0   3  |    0   8  |   78.60   89 |   78.24   94
  89  Georgia                 =  78.58   15  15   77.74(  46)    0   2  |    0   8  |   79.24   82 |   77.62  101
  90  South Alabama        $  =  78.57   23   6   70.94( 220)    0   0  |    0   1  |   79.07   85 |   77.74   99
College Basketball 2005-2006          Div I games only    thru 2006 March 12 Sunday
HOME ADVANTAGE=  4.03           RATING    W   L  SCHEDL(RANK) VS top 10 | VS top 30 |  ELO_CHESS   |  PREDICTOR  
  91  Charlotte               =  78.54   18  12   75.22(  96)    0   0  |    0   3  |   78.38   92 |   78.36   93
  92  Montana              $  =  78.47   21   6   71.70( 196)    0   0  |    0   0  |   78.42   91 |   78.18   95
  93  Murray State         $  =  78.46   23   6   69.84( 258)    0   0  |    0   2  |   79.31   81 |   77.32  103
  94  Nebraska                =  78.40   19  13   75.99(  83)    0   4  |    0   5  |   80.22   70 |   76.49  115
  95  Pennsylvania         $  =  78.40   19   8   70.91( 222)    0   2  |    0   2  |   76.78  113 |   79.87   79
  96  Texas Tech              =  78.32   15  17   77.78(  44)    0   4  |    0   6  |   77.46  103 |   78.87   89
  97  UNLV                    =  78.23   17  13   75.87(  87)    0   0  |    0   1  |   77.13  108 |   79.08   87
  98  Oregon                  =  78.20   14  18   77.08(  71)    0   1  |    1   6  |   75.73  123 |   80.81   68
